"address","borough","date","status","resolution","zip_code","latitude","longitude","closed_date"
"2349 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.599878","-73.990418",NA
"2320 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.600300","-73.991152",NA
"74 GRAND STREET","MANHATTAN",2022-01-05,"Open","Site to be cleaned.","10013","40.721914","-74.002785",NA
"1864 85 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.607039","-74.000677",NA
"190 EAST    3 STREET","MANHATTAN",2022-01-05,"Open","Graffiti Reported","10009","40.722969","-73.983690",NA
"2337 86 STREET","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11214","40.599998","-73.990619",NA
"2379 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.599496","-73.989780",NA
"2172 86 STREET","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11214","40.602252","-73.994325",NA
"2220 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.601651","-73.993345",NA
"1818 EAST   37 STREET","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11234","40.612965","-73.933663",NA
"6813 4 AVENUE","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11220","40.635152","-74.023293",NA
"832 WASHINGTON AVENUE","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11238","40.673180","-73.962883",NA
"2304 86 STREET","BROOKLYN",2022-01-05,"Open","Property Research Required","11214","40.600465","-73.991426",NA
"2046 86 STREET","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11214","40.603937","-73.997162",NA
"243 9 AVENUE","MANHATTAN",2022-01-04,"Open","Site to be cleaned.","10001","40.747580","-74.000545",NA
"341 NEW LOTS AVENUE","BROOKLYN",2022-01-04,"Open","Graffiti Reported","11207","40.661302","-73.894335",NA
"6906 13 AVENUE","BROOKLYN",2022-01-04,"Open","Graffiti Reported","11228","40.623601","-74.004013",NA
"1716 PITKIN AVENUE","BROOKLYN",2022-01-04,"Open","Graffiti Reported","11212","40.669794","-73.909941",NA
"313 EAST HOUSTON STREET","MANHATTAN",2022-01-04,"Open","Site to be cleaned.","10002","40.721284","-73.983235",NA
"1762 PITKIN AVENUE","BROOKLYN",2022-01-04,"Open","Site to be cleaned.","11212","40.670058","-73.908163",NA
"349 NEW LOTS AVENUE","BROOKLYN",2022-01-04,"Open","Graffiti Reported","11207","40.661411","-73.894089",NA
"1911 PITKIN AVENUE","BROOKLYN",2022-01-04,"Open","Site to be cleaned.","11207","40.670973","-73.902109",NA
"134 EAST   36 STREET","MANHATTAN",2022-01-04,"Open","Graffiti Reported","10016","40.747773","-73.979021",NA
"1744 PITKIN AVENUE","BROOKLYN",2022-01-04,"Open","Graffiti Reported","11212","40.669982","-73.908686",NA
"6824 FORT HAMILTON PARKWAY","BROOKLYN",2022-01-04,"Open","Site to be cleaned.","11219","40.629013","-74.011665",NA
"101 MOSCO STREET","MANHATTAN",2022-01-04,"Open","Site to be cleaned.","10013","40.714451","-73.999473",NA
"351 NEW LOTS AVENUE","BROOKLYN",2022-01-04,"Open","Site to be cleaned.","11207","40.661433","-73.894035",NA
"984 56 STREET","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11219","40.635365","-74.003264",NA
"70-55 QUEENS BOULEVARD","QUEENS",2022-01-03,"Open","Site to be cleaned.","11377","40.739652","-73.892572",NA
"70-26 QUEENS BOULEVARD","QUEENS",2022-01-03,"Open","Graffiti Reported","11377","40.739892","-73.893900",NA
"111 EAST    2 STREET","MANHATTAN",2022-01-03,"Open","Graffiti Reported","10009","40.723532","-73.987055",NA
"205 PARKSIDE AVENUE","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11226","40.655242","-73.960972",NA
"937 MCDONALD AVENUE","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11218","40.631328","-73.977263",NA
"210 EAST    2 STREET","MANHATTAN",2022-01-03,"Open","Site to be cleaned.","10009","40.721849","-73.983019",NA
"7011 FORT HAMILTON PARKWAY","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11228","40.628094","-74.013009",NA
"161 WEST   10 STREET","MANHATTAN",2022-01-03,"Open","Graffiti Reported","10014","40.734435","-74.001775",NA
"1015 56 STREET","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11219","40.634712","-74.002147",NA
"29 TIFFANY PLACE","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11231","40.686967","-74.000775",NA
"724 LAFAYETTE AVENUE","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11221","40.690698","-73.944140",NA
"7013 FORT HAMILTON PARKWAY","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11228","40.628088","-74.013020",NA
"337 RIVERDALE AVENUE","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11212","40.661741","-73.903676",NA
"1059 FLATBUSH AVENUE","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11226","40.644940","-73.958001",NA
"761B FLATBUSH AVENUE","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11226","40.654231","-73.959567",NA
"881 72 STREET","BROOKLYN",2022-01-03,"Open","Property Research Required","11228","40.627654","-74.014933",NA
"103 EAST    2 STREET","MANHATTAN",2022-01-03,"Open","Graffiti Reported","10009","40.723617","-73.987268",NA
"607 BRISTOL STREET","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11212","40.656248","-73.909231",NA
"59-23 GRAND AVENUE","QUEENS",2022-01-03,"Open","Graffiti Reported","11378","40.720841","-73.907249",NA
"6900 FT HAMILTON PARKWAY","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11228","40.628618","-74.012256",NA
"831 72 STREET","BROOKLYN",2022-01-03,"Open","Property Research Required","11228","40.628165","-74.015776",NA
"231 NEPTUNE AVENUE","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11235","40.581514","-73.962081",NA
"135 EAST    2 STREET","MANHATTAN",2022-01-03,"Open","Graffiti Reported","10009","40.723269","-73.986410",NA
"113 EAST    2 STREET","MANHATTAN",2022-01-03,"Open","Site to be cleaned.","10009","40.723510","-73.987001",NA
"753A FLATBUSH AVENUE","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11226","40.654399","-73.959599",NA
"5802 FT HAMILTON PARKWAY","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11219","40.633987","-74.004233",NA
"206 PARKSIDE AVENUE","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11226","40.655220","-73.960983",NA
"929 BAY RIDGE AVENUE","BROOKLYN",2022-01-03,"Open","Property Research Required","11219","40.628486","-74.011798",NA
"304 EAST    8 STREET","MANHATTAN",2022-01-03,"Open","Graffiti Reported","10009","40.725472","-73.980280",NA
"83-10 QUEENS BOULEVARD","QUEENS",2022-01-03,"Open","Site to be cleaned.","11373","40.737235","-73.879849",NA
"207 NEPTUNE AVENUE","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11235","40.581693","-73.961224",NA
"927 BAY RIDGE AVENUE","BROOKLYN",2022-01-03,"Open","Property Research Required","11219","40.628506","-74.011827",NA
"1000 53 STREET","BROOKLYN",2022-01-03,"Open","Property Research Required","11219","40.636299","-74.000281",NA
"6 BAY   50 STREET","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11214","40.588447","-73.983920",NA
"163 WEST   10 STREET","MANHATTAN",2022-01-03,"Open","Graffiti Reported","10014","40.734424","-74.001855",NA
"5521 FORT HAMILTON PARKWAY","BROOKLYN",2022-01-03,"Open","Property Research Required","11219","40.635354","-74.002162",NA
